id,bident1,userdata,language,int1a,int3a,d1,age,age2,recage,recage2,recage3,recage4,recage5,recage6,hispanic,race,racethn,nativity,racethn2,vaxq1,vaxq2,vaxq3,vaxq4,vaxq5,vaxq6,vaxq7,coverage,agecov,covtype,agecovtype,covselfother,covself,covselfot,child,marital,employ,recemploy,selfemploy,rgender,gendervar,lgbt,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,recincome2,ce14,ce17,trp2,cell,hhcell,landline,hhadults,int,loi,devicetype,devicecategory,bssrs_match_code,cstate,cregion,density,complete_date,weight,recincome3,Division,changesex,cdc2013,cdc2013USR,state,USR,USR_NEW
00000002,WEB,SSRS Probability Panel,English, , , ,68, ,65+,65+,65+,60-69,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Somewhat worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Married,Retired,Retired, ,Man,Male,No,Or what/Other,Independent/don't lean to either party,Pure Independents,Independent/Don't lean,Liberal,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$40,000 to less than $50,000",$40K-$89.9K,$40K+,Once a month,No,Purple, , , ,2, ,332,Other smart phone (smart phones that is not ios/android/windows mobile),Smartphone or equivalent (<7 inch),27082976,New York,Northeast,Lowest,20211215,.3532,Less than $50K,Mid Atlantic,sex = rgender,Non-core,Rural (CDC=4-6),NEW YORK,Rural,Rural
00000003,WEB,SSRS Probability Panel,English, , , ,46, ,18-64,30-49,45-54,40-59,45-64,18-49,No,Black or African-American,"Black, non-Hispanic", ,"Black, non-Hispanic",Not too worried,No, , ,Have recommended this,"No, does not make me more likely",Nothing,Covered by health insurance,Insured Less than 65,Medicaid/STATE-SPECIFIC MEDICAID NAME,Medicaid, , , ,Yes,Married,On disability and can't work,On disability and can't work, ,Woman,Female,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Conservative,Two-year associate degree from a college or university (including associate degree in nursing),Some college,Some college,Less than college,"$20,000 to less than $30,000",Less than $40K,Less than $40K,"Basically, every day",No,Purple, , , ,4, ,371,Android smart phones,Smartphone or equivalent (<7 inch), ,Michigan,North Central,Highest,20211216,.4518,Less than $50K,East North Central,sex = rgender,Large central metro,Urban (CDC=1),MICHIGAN,Urban,Urban
00000004,WEB,SSRS Probability Panel,English, , , ,66, ,65+,65+,65+,60-69,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Widowed,Retired,Retired, ,Woman,Female,No,Republican, ,Republican/Indep lean Rep,Republican,Conservative,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$40,000 to less than $50,000",$40K-$89.9K,$40K+,A few times a week,No,Purple, , , ,2, ,234,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,26420192,Virginia,South,4,20211217,.3453,Less than $50K,South Atlantic,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",VIRGINIA,Suburban,Suburban
00000005,WEB,SSRS Probability Panel,English, , , ,70, ,65+,65+,65+,70-74,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,No, , ,Have recommended this,"No, does not make me more likely",Nothing,Covered by health insurance, ,Medicare, , , , ,No,Married,Retired,Retired, ,Man,Male,No,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Conservative,"Vocational, business, technical, or training courses after high school that did not count toward an associate degree fro",High school graduate,High school or less,Less than college,"$50,000 to less than $75,000",$40K-$89.9K,$40K+,"Basically, every day",No,Purple, , , ,2, ,896,"Generic phones (e.g. Older version of Nokia, blackberry etc.)",Other small devices,42912553,Florida,South,2,20211216,.2828,$50K-$99.9K,South Atlantic,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",FLORIDA,Suburban,Suburban
00000006,WEB,SSRS Probability Panel,English, , , ,36, ,18-64,30-49,35-44,18-39,30-44,18-49,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Somewhat worried,No, , ,Not sure,"No, does not make me more likely",Nothing,Covered by health insurance,Insured Less than 65,Medicaid/STATE-SPECIFIC MEDICAID NAME,Medicaid, , , ,Yes,Never been married,Employed full-time,Employed,"No, not self-employed",Woman,Female,No,Republican, ,Republican/Indep lean Rep,Republican,Conservative,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,"$20,000 to less than $30,000",Less than $40K,Less than $40K,Less than once a month,No,Purple, , , ,1, ,225,iPhone/iPod,Smartphone or equivalent (<7 inch),83713055,North Dakota,North Central,Lowest,20211217,.8895,Less than $50K,West North Central,sex = rgender,Non-core,Rural (CDC=4-6),NORTH DAKOTA,Rural,Rural
00000008,WEB,SSRS Probability Panel,English, , , ,72, ,65+,65+,65+,70-74,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Somewhat worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Married,Retired,Retired, ,Man,Male,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$100,000 or more",$90K+,$40K+,"Basically, every day",Yes,Purple, , , ,2, ,245,iPhone/iPod,Smartphone or equivalent (<7 inch),24009335,Oregon,West,3,20211215,.2324,$100K+,Pacific,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",OREGON,Suburban,Suburban
00000011,WEB,SSRS Probability Panel,English, , , ,Refused,50-64,18-64,50-64, , , ,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not at all worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your spouse's employer,Spouse's employer, , , ,No,Married,Retired,Retired, ,Woman,Female,No,Republican, ,Republican/Indep lean Rep,Republican,Conservative,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$100,000 or more",$90K+,$40K+,Less than once a month,No,Purple, , , ,2, ,262,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,80125780,Texas,South,3,20211215,.598,$100K+,West South Central,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",TEXAS,Suburban,Suburban
00000012,WEB,SSRS Probability Panel,English, , , ,24, ,18-64,18-29,18-24,18-39,18-29,18-49,No,Asian,"Other, non-Hispanic", ,"Other, non-Hispanic",Somewhat worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,No,Never been married,Employed full-time,Employed,"No, not self-employed",Woman,Female,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB, BSN)",College +,College +,College +,"$30,000 to less than $40,000",Less than $40K,Less than $40K,Once a month,No,Purple, , , ,1, ,115,iPhone/iPod,Smartphone or equivalent (<7 inch),19953464,Florida,South,4,20211215,.6702,Less than $50K,South Atlantic,sex = rgender,Large central metro,Urban (CDC=1),FLORIDA,Suburban,Suburban
00000013,WEB,SSRS Probability Panel,English, , , ,67, ,65+,65+,65+,60-69,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Divorced,Unemployed and currently seeking employment,Unemployed, ,Man,Male,No,None,Independent/don't lean to either party,Pure Independents,Independent/Don't lean,Moderate,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$50,000 to less than $75,000",$40K-$89.9K,$40K+,A few times a week,Yes,Purple, , , ,1, ,238,iPhone/iPod,Smartphone or equivalent (<7 inch),90627093,California,West, ,20211216,.305,$50K-$99.9K,Pacific,sex = rgender, ,Unknown,REFUSED,Cannot determine,Cannot determine
00000014,WEB,SSRS Probability Panel,English, , , ,37, ,18-64,30-49,35-44,18-39,30-44,18-49,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,Yes,Married,Employed full-time,Employed,"No, not self-employed",Man,Male,Yes,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$75,000 to less than $90,000",$40K-$89.9K,$40K+,Once a month,No,Purple, , , ,2, ,142,Android smart phones,Smartphone or equivalent (<7 inch),81606423,Wisconsin,North Central,3,20211216,1.272,$50K-$99.9K,East North Central,sex = rgender,Medium metro,"Suburban (CDC=2,3)",WISCONSIN,Suburban,Suburban
